Image Resolution 320X240
17858
5953
2840
2782
2769
1954
1882
1956
1536
2524
1640
2465
1283
1616
1625
4059
1155
1117
1305
1301
1114
1461
1380
2882
1251
1417
1136
1127
1529
1265
1260
1293
1211
1120
1274
1262
1379
1274
1210
1248
1240
1225
1573
1237
1225
1216
946
843
2620
1176
Image Resolution 1024X768
9197
6774
5630
4532
4604
4769
4735
5288
4989
4742
5956
5232
5268
4158
4566
4893
4346
4666
4595
5114
4046
4196
5198
4888
4743
4826
4553
5498
5282
4358
4363
5016
4780
4748
4919
4742
5161
4628
4291
4571
4993
5005
5151
5336
5520
4741
4996
4951
4859
4868
Image Resolution 1280X1024
6133
8814
7700
7124
6690
6861
6613
7124
6891
6391
6392
6284
6452
6776
7202
8441
8089
11788
8231
8218
8267
10127
7867
8883
8061
7817
7898
9130
8600
8060
8000
8006
8206
8039
9593
12181
10677
10942
9346
7400
9402
7780
10516
7378
9383
10412
10392
15972
9612
6376
Image Resolution 1280X720
5265
5028
4872
5394
6169
5587
6443
6516
6628
6855
6969
6087
5151
5574
5259
5181
6080
5526
5811
5357
5335
6226
5159
5154
4850
4899
5084
5023
5152
5505
5297
4896
5056
4829
4892
4968
4985
4987
4782
5006
5031
8624
5267
4971
5669
4818
4839
5072
4977
5100
Image Resolution 1920X1080
11419
15814
14939
12959
14943
15233
12383
14630
9631
10444
10703
9975
10551
9898
9676
14579
15705
10170
10595
12829
12700
15061
11544
13374
13180
13069
11406
12604
12459
12998
10399
13115
12534
12929
10126
10986
10705
10510
10552
9625
10603
10355
9764
10538
13269
9761
10927
9934
10714
11970
